127.0.0.1 - - [08/Mar/2021:09:42:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:42:01 +0900] "GET /form_jsp/form_res.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:42:21 +0900] "GET /form_jsp/form_res.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:43:07 +0900] "GET /form_jsp/form_res.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:43:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:43:13 +0900] "GET /form_jsp/form_res.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:44:49 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23bf4f4f HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:50:39 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23ee2b2b&mydate=2021-03-08 HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:50:57 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23ee2b2b&mydate=2021-03-08 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:52:12 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23ee2b2b&mydate=2021-03-08 HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:53:36 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23ee2b2b&mydate=2021-03-08 HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:53:44 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23ee2b2b&mydate=2021-03-08 HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:53:45 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23ee2b2b&mydate=2021-03-08 HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:53:45 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23ee2b2b&mydate=2021-03-08 HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:53:46 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23ee2b2b&mydate=2021-03-08 HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [08/Mar/2021:09:53:54 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23ee2b2b&mydate=2021-03-08 HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:48:11 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23000000&mydate=2021-03-08 HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:49:54 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23000000&mydate=2021-03-01 HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:50:39 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23000000&mydate=2021-03-01&fav_food=%EB%96%A1%EB%B3%B6%EC%9D%B4 HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:51:12 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23000000&mydate=2021-03-03&fav_food=3 HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:52:11 +0900] "GET /form_jsp/form_res.jsp?mycolor=%23000000&mydate=2021-03-07&fav_food=2 HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [08/Mar/2021:11:16:26 +0900] "GET /form_jsp/form_res.jsp HTTP/1.1" 200 202
